标题,作者
树立以风险为导向的预算理念,刘尚希
“十四五”时期新经济推进我国产业结构升级的路径与政策,任保平，豆渊博
论“双循环”的区域经济发展新格局——兼论“十四五”及后两个规划期接续运行指向,郭先登
环境规制促进海洋产业结构转型升级了吗？——基于海洋环境规制工具的选择,杨林，温馨
植物新品种创新的区域差异与影响因素研究,张超，周衍平
中国双向直接投资的就业效应研究,钟坚，张其富
住房财富与劳动参与决策：基于CFPS数据的分析,姚健
金融背景的CEO与企业租赁融资,史燕平，陈乾，黄鑫
数字金融发展对我国居民生活质量的影响研究,封思贤，宋秋韵
女性高管对企业社会责任报告可读性的影响研究,黄珺，徐莹莹
产学合作对高校创新绩效的空间计量研究——基于组织层次和省域跨层次的双重视角,王晓红，张少鹏，张奔
外资开放如何影响绿色全要素生产率,汪朝阳
高管薪酬契约参照与企业并购：并购溢价及并购绩效,白智奇，张宁宁，张莹
《集团公司管理》评介,徐向艺
建党百年的公共管理：演进历程、学科建设与发展前沿,唐任伍，李楚翘
中国共产党领导科技创新的百年历程、经验与展望,许可，郑宜帆
中国与“一带一路”沿线国家贸易网络解析,龚炯，李银珠
风险资本非随机空间扩散机制研究,覃成林，江嘉琳
地方政府债务扩张对区域金融风险的溢出效应,沈丽，范文晓
新时代创业带动就业活力充分释放,杨宜勇，蔡潇彬
嵌入、调节与治理：历史时间与现代化路径,袁富华，李兆辰
财富与经济发展：质量维度的机理阐释,师博，叶蔚然
全过程预算绩效评价结果应用：理论框架构建,马海涛，孙欣
财政政策与货币政策的有效协同模式：赤字货币化,李成威，景婉博
利好信息冲击是否加剧了个股特质风险？,王春峰，吴颐瑶，房振明
农机投资对农村女性劳动力非农就业转移影响及其异质性,罗明忠，邱海兰，陈小知
教育人力资本、健康人力资本与绿色技术创新——环境规制的调节作用,杨明海，刘凯晴，谢送爽
中国创业型企业初创时期创新效率研究,刘建翠，吴滨
城乡流动、户籍转换与社会地位认同感,董志勇，戴圣涛
政府与市场：对中国改革开放后工业化过程的回顾,陈健，郭冠清
个体相对脆弱性与信任倾向,袁正，涂晶晶
数字货币、贸易结算创新与国际货币体系改善,赵忠秀，刘恒
人民币汇率变动对企业生产率的影响——基于技术进步与要素配置的双重视角,李平，韩彩霞
“堵暗道”奏效了吗？——来自城投债发行市场的证据,詹卉，孙征，金殿臣
家族企业多行业经营与股东财富增值——基于家族治理的调节作用,韩忠雪，高心仪
食品安全满意度的影响因素研究——基于多层线性回归模型及Easterlin悖论的验证,张红凤，李萍，王超
环境规制与经济高质量发展的双向反馈效应研究,刘传明，刘一丁，马青山
WTO“特殊与差别待遇”谈判议题的中国对策,袁其刚，闫世玲，翟亮亮
国内国际双循环新格局下海南自由贸易港离岸贸易发展研究,詹联科，夏锋
高铁网络化建设是否有利于科技创新？,李涛，薛领
百年中国共产党经济思想创新研究,崔友平，刘承礼，赵超，王潇锐，屈婷
“支柱二”方案、苹果税案与国际税收规则竞争,邓力平，贺慧健，王智烜
金融发展、货币政策变动与企业投资效率——基于企业融资约束视角的实证研究,韩元亮，赵忠秀，石贝贝
“去杠杆”与“降成本”的政策协同：机制分析与经验证据,郭玉清，张妍
城镇化、房价与城乡收入差距,刘呈庆，任玲
政府债务、市场化进程与高技术产品出口复杂度,刘焕鹏
员工跨界行为、知识共享与制造企业服务创新——基于知识基的调节作用,辛本禄，代佳琳
大数据、金融集聚与绿色技术创新,金芳，齐志豪，梁益琳
管理者能力与债券违约风险,张馨月
中国创新力的空间差异及其来源结构分解,刘华军，郭立祥
产业空间分布与地区差距变动：基于文献的评论,张晖，漆肖琪
社区智慧养老资源配置协同度评价研究,于凌云，李易颖
“双循环”新发展格局的金融支持研究,彭红枫，梁子敏
“双循环”新发展格局下旅游业发展路径与策略,李鹏，邓爱民
半分工半专业化经济的生成机制和分配功能,赵志君，王文豪，罗红云
回归亚当·斯密古典传统——经济与社会行为的统一理论模型,郑磊
地方政府纾困、融资成本与企业业绩分化,毛捷，管星华
政府驻地迁移与适宜性技术创新：异质引进抑或同质研发？,李国锋，吴梦，李祚娟
“营改增”政策对长江经济带环境污染的影响研究,崔志坤，张齐
房地产税应归谁所有？——基于公共服务资本化的视角,刘金东，徐震寰，王振威
母子公司财务管理控制点研究,陈志军，刘锡禄，董美彤
审计官员任期、个人特征与审计监督绩效,后小仙，马融，后天路
独立董事职业背景会影响企业高管薪酬吗？——基于财务背景与金融背景差异视角,邵剑兵，刘云贺
商业信用融资、客户集中度与企业研发投入,梅丹，程明
多个大股东治理与企业社会责任,赵国宇，魏帅军
论中国股票市场的高质量发展,钱津
黄河流域城市高质量发展的动态演进与区域分化,师博，何璐
黄河流域城市群高质量发展的目标及其实现路径,秦华，任保平
黄河流域科技创新效率差异测度、来源分解与形成机理,张超，宋晓华，孙亚男
城市人力资本、社会交流网络与企业创新,张萃，李亚倪
基于网络视角的城市土地出让价格互动影响形成机理研究,程道平，孙昊，彭山桂
贸易政策对中国虚拟水贸易结构的影响分析,李广杰，段晓宇
基于供应商主体感知的政府采购营商环境研究：指标构建与综合评价,姜爱华，辛婷，张艳梅
重大突发公共卫生事件下宏观经济波动对银行业风险影响研究述评,沈丽，米映静
影子银行规模变动对货币政策与经济景气时变冲击效应,严伟祥，孟德锋，肖莹
“聚点均衡”视角下有为政府引领企业生产区位选择机制研究,徐雷，冯荣凯，唐晓华
轻资产化能提升旅游企业盈利能力吗?,刘亚萍，史可寒
绿色农业生产水平的空间异质性分析：基于山东省2010-2019年的经验数据,周霞，李昕欣
创新驱动发展，亟需转移转化——《管理技术转移》书评,王保林
论“十五五”期区域经济发展新视角——兼论多规划期接续实现第二个百年目标聚光点,郭先登
中国水权交易政策对提高水资源利用效率的地区差异性评估,吴凤平，邱泽硕，邵志颖，季英雯，李梦珂
“一带一路”倡议对沿线国家融资环境的促进作用,林辉，孙煦初
企业所得税优惠方式与新一代信息技术服务业科技竞争力：效应比较与政策选择,马海涛，贺佳
经济政策不确定性对国家财政收支差额的影响,谢申祥，王晖
资本结构偏离与融资租赁决策——基于资本结构动态权衡理论,史燕平，杨文涛
中小企业数字化转型影响因素的组态效应研究,张新，徐瑶玉，马良
创新链与资金链融合影响经济高质量发展的效应研究,刘家树，石洪波，周梦琦
大客户地理邻近性是否抑制了公司股价崩盘风险？,黄珺，韩菲菲，段志鑫
新时代确保有色金属保供稳价长治久安的经验和对策,杨宜勇，刘方
中国老年人多维相对贫困测度与识别研究,刘佩，孙立娟
共享经济产业政策与反垄断法的平衡,李晨
户籍身份对工作转换及就业状况的影响,曲玥
中国人口红利源泉：教育、健康和人口年龄结构,楠玉
企业社交媒体使用的两面性及其作用机制研究,吴金南，郭珊珊，剧晓红
上市公司绩效困境与母公司减持行为关系研究,徐鹏，孟德霖，徐晓梅
公共文化服务与经济高质量发展——基于耦合协调度模型的政策启示,张红凤，杨方腾，井钦磊
高管团队稳定性影响企业金融化水平吗？,刘锦英，徐海伟
税收优惠、创新要素投入与企业全要素生产率,燕洪国，潘翠英
外资流入中国股票市场的“双刃剑”效应及对策,宋兰笑，孙灵燕
中国八大综合经济区生态效率测度及时空演进分析,陈晓兰，孟庆港，史佳凝，沈万芳
“抢人大战”会扩大地区间人力资本结构差距吗？,郝凤霞，吴赟
地方政府竞争促进了地区碳排放强度吗？,李治国，杨雅涵，赵园春
产业集聚对海洋产业效率影响的分析,米俣飞
山东经济定位与区域发展战略重点研究,黄少安
新发展阶段物联网赋能经济高质量发展的路径与支持体系研究,任保平，苗新宇
黄河流域经济高质量发展与水资源消耗脱钩关系研究,黄德春，林欣，贺正齐
中欧班列对城市全要素生产率的影响,方慧，解欢品
产业疏解对京津冀协同发展的作用路径及效果研究,赵成伟，刘冬梅，王砚羽
中国未来消费税制改革的经济效应与政策选择,朱军，邹韬略，张敬亭
地方政府财政信息公开差异化竞争研究——以省级社保基金透明度为例,马恩涛，杨璇
数字普惠金融对城乡居民收入差距的门限效应研究——基于不同发展维度的实证分析,杨德勇，代海川，黄帆帆
环境规制对劳动者工资收入差距的影响——基于技能溢价视角的研究,陶爱萍，孙鑫，蒯鹏
客户集中度、股东网络与应计盈余管理,罗栋梁，王基臣，史先让
差异化分红政策抑制企业非效率投资了吗？——来自沪深A股市场的经验证据,张涛，刘艳
私募股权投资对被投公司市值管理的影响——基于创业板IPO公司的证据,郑勇，崔海涛，张延良
资产负债表收缩与债务化解,何佳
东西差距、南北分化与双循环新发展格局,余东华，王山
互联网发展对城市创新的影响研究,陶爱萍，刘秉东
区域产业结构差异、人力资本与经济增长,泥霓，丁宁
社会责任投资基金与投资者的选择,冯金余，李孟林，常广敏
中国政策性农业信贷担保机构运行效率研究,孟光辉，李永坤，安康
元治理视域下校外培训市场治理的政府责任研究,张茂聪，董倩
贸易政策不确定性如何影响企业全要素生产率？——基于中国“入世”的准自然实验,王明益，石金明，徐斯玮
CEO权力促进了企业技术资本积累吗？——基于上市公司的经验证据,许秀梅，陈泽文
制造业服务化驱动中国经济高质量发展的理论逻辑与实证检验,陈丽娴，魏作磊
中国特色反贫困道路深化：乡村振兴战略,刘朝帅，王立胜
数字经济背景下增长要素扩展驱动我国经济增长模式的转型,任保平
区域一体化与城市内部地区收入差距——基于长三角地级市数据的经验研究,刘乃全，胡羽琦，周闽军，张瀚文
区域科技人才流失风险预警机制研究,徐茜，崔霞，罗文卿
政府绿色采购制度助力“双碳”目标的影响机制、主要问题及政策建议,马海涛，贺佳
政府补贴、创新投入与制造业企业全要素生产率,路春城，王翠翠，姜常梅
税收负担降低了碳排放强度吗？,王锋，罗珊，单静
中国数字资本服务测算,李金昌，金灿阳，徐蔼婷
数字经济对中国农业全要素生产率的影响,孙光林，李婷，莫媛
中国数字经济与高质量发展的耦合协调研究,王裕瑾，李梦玉
RCEP对全球及中国区域电子产业发展的影响分析——基于全球与中国区域（含深圳）的CGE模型系统,董婉璐，李慧娟，杨军
国有企业股权激励对研发活动的影响,李春瑜
推动我国体育产业高质量发展的路径选择,袁夕坤，战炤磊
湘鄂渝黔毗邻民族地区脱贫攻坚与乡村振兴有效衔接的测度及影响因素,陆远权，张源
地方政府竞争与黄河流域水资源利用效率,黄永斌，曹蒙
人口低增长、闲暇需求与中国的短期劳动供给,魏翔，胡典成
需求收缩、供给冲击与预期走弱三重压力下跨越“中等收入陷阱”再解析,张炜，妥璟旖
影子银行、货币政策与银行风险承担,张晶，陈帅，刘超，陈卓
收入不确定性会影响家庭教育支出吗？,后小仙，傅佳亮
税收征管数字化、企业创新与高质量发展,唐飞鹏
数字技术与服务化对制造业企业绩效的影响研究,杨蕙馨，孙芹
医养结合对老年人主观幸福感的影响研究,张红凤，王宇，黄璐
合作网络特征与创新模式对企业创新绩效的组态影响,韩光鹤，李思奇
